cancer,step,mean_tumor_ratio,sd_tumor_ratio,n
TNBC,1,1.0000,0.0000,3
TNBC,2,1.0442,0.0096,3
TNBC,3,1.0948,0.0035,3
TNBC,4,1.1501,0.0172,3
TNBC,5,1.1595,0.0091,3
TNBC,6,1.2022,0.0054,3
TNBC,7,1.2654,0.0088,3
TNBC,8,1.3080,0.0065,3
TNBC,9,1.3728,0.0058,3
TNBC,10,1.3208,0.0167,3
TNBC,11,1.3476,0.0101,3
TNBC,12,1.3871,0.0242,3
TNBC,13,1.4282,0.0378,3
TNBC,14,1.4787,0.0243,3
TNBC,15,1.4203,0.0211,3
TNBC,16,1.4392,0.0135,3
TNBC,17,1.4424,0.0178,3
TNBC,18,1.4504,0.0324,3
TNBC,19,1.4567,0.0254,3
TNBC,20,1.3998,0.0344,3
TNBC,21,1.4235,0.0273,3
TNBC,22,1.4376,0.0109,3
TNBC,23,1.3792,0.0147,3
TNBC,24,1.3761,0.0305,3
TNBC,25,1.2876,0.0325,3
TNBC,26,1.2972,0.0651,3
TNBC,27,1.2215,0.0778,3
TNBC,28,1.0824,0.0798,3
TNBC,29,1.0856,0.0860,3
TNBC,30,0.9292,0.0849,3
CRC-MSI-H,1,1.0000,0.0000,3
CRC-MSI-H,2,1.0450,0.0014,3
CRC-MSI-H,3,1.0944,0.0077,3
CRC-MSI-H,4,1.1494,0.0062,3
CRC-MSI-H,5,1.1205,0.0150,3
CRC-MSI-H,6,1.1569,0.0230,3
CRC-MSI-H,7,1.1963,0.0388,3
CRC-MSI-H,8,1.1831,0.0184,3
CRC-MSI-H,9,1.1600,0.0290,3
CRC-MSI-H,10,1.0629,0.0328,3
CRC-MSI-H,11,1.0366,0.0303,3
CRC-MSI-H,12,1.0133,0.0414,3
CRC-MSI-H,13,0.9233,0.0300,3
CRC-MSI-H,14,0.8768,0.0284,3
CRC-MSI-H,15,0.7855,0.0275,3
CRC-MSI-H,16,0.7476,0.0120,3
CRC-MSI-H,17,0.7098,0.0067,3
CRC-MSI-H,18,0.6559,0.0077,3
CRC-MSI-H,19,0.5877,0.0210,3
CRC-MSI-H,20,0.4805,0.0271,3
CRC-MSI-H,21,0.4339,0.0248,3
CRC-MSI-H,22,0.3889,0.0071,3
CRC-MSI-H,23,0.2977,0.0139,3
CRC-MSI-H,24,0.2162,0.0080,3
CRC-MSI-H,25,0.1625,0.0059,3
CRC-MSI-H,26,0.1363,0.0143,3
CRC-MSI-H,27,0.1130,0.0178,3
CRC-MSI-H,28,0.0899,0.0076,3
CRC-MSI-H,29,0.0811,0.0200,3
CRC-MSI-H,30,0.0739,0.0149,3
CRC-MSS,1,1.0000,0.0000,3
CRC-MSS,2,1.0496,0.0036,3
CRC-MSS,3,1.0993,0.0047,3
CRC-MSS,4,1.1498,0.0042,3
CRC-MSS,5,1.2053,0.0097,3
CRC-MSS,6,1.2473,0.0157,3
CRC-MSS,7,1.2742,0.0266,3
CRC-MSS,8,1.2895,0.0326,3
CRC-MSS,9,1.2982,0.0404,3
CRC-MSS,10,1.3029,0.0390,3
CRC-MSS,11,1.2673,0.0126,3
CRC-MSS,12,1.2244,0.0206,3
CRC-MSS,13,1.1806,0.0318,3
CRC-MSS,14,1.1100,0.0233,3
CRC-MSS,15,1.1023,0.0183,3
CRC-MSS,16,1.0461,0.0212,3
CRC-MSS,17,1.0147,0.0326,3
CRC-MSS,18,0.9603,0.0450,3
CRC-MSS,19,0.8790,0.0285,3
CRC-MSS,20,0.8379,0.0254,3
CRC-MSS,21,0.7738,0.0142,3
CRC-MSS,22,0.6881,0.0276,3
CRC-MSS,23,0.5764,0.0293,3
CRC-MSS,24,0.4637,0.0327,3
CRC-MSS,25,0.4236,0.0295,3
CRC-MSS,26,0.4065,0.0175,3
CRC-MSS,27,0.3617,0.0125,3
CRC-MSS,28,0.2882,0.0117,3
CRC-MSS,29,0.2680,0.0206,3
CRC-MSS,30,0.2604,0.0133,3
Melanoma,1,1.0000,0.0000,3
Melanoma,2,1.0463,0.0023,3
Melanoma,3,1.0988,0.0076,3
Melanoma,4,1.1512,0.0030,3
Melanoma,5,1.1787,0.0090,3
Melanoma,6,1.2200,0.0100,3
Melanoma,7,1.2764,0.0173,3
Melanoma,8,1.3225,0.0123,3
Melanoma,9,1.3675,0.0204,3
Melanoma,10,1.3539,0.0199,3
Melanoma,11,1.3538,0.0389,3
Melanoma,12,1.3375,0.0508,3
Melanoma,13,1.3039,0.0882,3
Melanoma,14,1.2740,0.0751,3
Melanoma,15,1.2129,0.0836,3
Melanoma,16,1.1893,0.0654,3
Melanoma,17,1.1417,0.0505,3
Melanoma,18,1.0715,0.0593,3
Melanoma,19,0.9843,0.0493,3
Melanoma,20,0.9155,0.0414,3
Melanoma,21,0.8904,0.0488,3
Melanoma,22,0.8054,0.0529,3
Melanoma,23,0.6893,0.0481,3
Melanoma,24,0.5992,0.0415,3
Melanoma,25,0.5314,0.0195,3
Melanoma,26,0.4952,0.0302,3
Melanoma,27,0.4398,0.0362,3
Melanoma,28,0.3535,0.0302,3
Melanoma,29,0.3249,0.0355,3
Melanoma,30,0.2735,0.0296,3
NSCLC,1,1.0000,0.0000,3
NSCLC,2,1.0467,0.0045,3
NSCLC,3,1.0966,0.0085,3
NSCLC,4,1.1485,0.0055,3
NSCLC,5,1.2036,0.0096,3
NSCLC,6,1.2463,0.0164,3
NSCLC,7,1.2837,0.0229,3
NSCLC,8,1.2962,0.0252,3
NSCLC,9,1.3159,0.0341,3
NSCLC,10,1.2962,0.0363,3
NSCLC,11,1.2514,0.0149,3
NSCLC,12,1.2212,0.0052,3
NSCLC,13,1.1631,0.0044,3
NSCLC,14,1.0934,0.0142,3
NSCLC,15,1.0748,0.0087,3
NSCLC,16,1.0405,0.0394,3
NSCLC,17,1.0116,0.0487,3
NSCLC,18,0.9254,0.0378,3
NSCLC,19,0.8602,0.0427,3
NSCLC,20,0.7802,0.0426,3
NSCLC,21,0.7044,0.0413,3
NSCLC,22,0.6244,0.0393,3
NSCLC,23,0.5123,0.0343,3
NSCLC,24,0.4220,0.0390,3
NSCLC,25,0.3856,0.0417,3
NSCLC,26,0.3576,0.0454,3
NSCLC,27,0.3171,0.0416,3
NSCLC,28,0.2661,0.0279,3
NSCLC,29,0.2452,0.0202,3
NSCLC,30,0.2317,0.0141,3
Ovarian,1,1.0000,0.0000,3
Ovarian,2,1.0520,0.0024,3
Ovarian,3,1.1040,0.0094,3
Ovarian,4,1.1560,0.0012,3
Ovarian,5,1.2121,0.0081,3
Ovarian,6,1.2509,0.0130,3
Ovarian,7,1.2764,0.0184,3
Ovarian,8,1.2632,0.0304,3
Ovarian,9,1.2511,0.0366,3
Ovarian,10,1.2429,0.0372,3
Ovarian,11,1.2089,0.0060,3
Ovarian,12,1.1395,0.0266,3
Ovarian,13,1.0569,0.0296,3
Ovarian,14,0.9927,0.0286,3
Ovarian,15,0.9794,0.0338,3
Ovarian,16,0.9490,0.0269,3
Ovarian,17,0.9114,0.0431,3
Ovarian,18,0.8288,0.0343,3
Ovarian,19,0.7698,0.0576,3
Ovarian,20,0.7057,0.0602,3
Ovarian,21,0.6364,0.0779,3
Ovarian,22,0.5567,0.0793,3
Ovarian,23,0.4028,0.0775,3
Ovarian,24,0.3153,0.0823,3
Ovarian,25,0.2847,0.0771,3
Ovarian,26,0.2745,0.0765,3
Ovarian,27,0.2389,0.0771,3
Ovarian,28,0.1981,0.0648,3
Ovarian,29,0.1859,0.0754,3
Ovarian,30,0.1829,0.0811,3
