condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
anti_PD1_early,deepseek,42,22,0.229578,0.004727,0.344566
anti_PD1_early,deepseek,42,23,0.216952,0.002432,0.341217
anti_PD1_early,deepseek,42,24,0.205019,0.001311,0.338287
anti_PD1_early,deepseek,42,25,0.259268,0.027246,0.390341
anti_PD1_early,deepseek,42,26,0.258396,0.012664,0.380375
anti_PD1_early,deepseek,42,27,0.244184,0.005921,0.370606
anti_PD1_early,deepseek,42,28,0.230754,0.002791,0.362518
anti_PD1_early,deepseek,42,29,0.218063,0.001317,0.353278
anti_PD1_early,deepseek,42,30,0.283219,0.019619,0.402576
anti_PD1_early,deepseek,456,1,0.0,0.002447,0.005496
anti_PD1_early,deepseek,456,2,0.0,0.004528,0.010553
anti_PD1_early,deepseek,456,3,0.0,0.006307,0.015205
anti_PD1_early,deepseek,456,4,0.0,0.007834,0.019485
anti_PD1_early,deepseek,456,5,0.0175,0.066805,0.067923
anti_PD1_early,deepseek,456,6,0.018506,0.032658,0.06881
anti_PD1_early,deepseek,456,7,0.017488,0.016884,0.071352
anti_PD1_early,deepseek,456,8,0.016527,0.009592,0.077815
anti_PD1_early,deepseek,456,9,0.015618,0.006115,0.088711
anti_PD1_early,deepseek,456,10,0.120009,0.07659,0.159861
anti_PD1_early,deepseek,456,11,0.125352,0.03693,0.170568
anti_PD1_early,deepseek,456,12,0.119298,0.018563,0.180754
anti_PD1_early,deepseek,456,13,0.113445,0.010006,0.19111
anti_PD1_early,deepseek,456,14,0.107914,0.005984,0.201546
anti_PD1_early,deepseek,456,15,0.206645,0.039752,0.275171
anti_PD1_early,deepseek,456,16,0.208667,0.019419,0.278259
anti_PD1_early,deepseek,456,17,0.197269,0.009935,0.281275
anti_PD1_early,deepseek,456,18,0.188467,0.005445,0.28375
anti_PD1_early,deepseek,456,19,0.178233,0.003282,0.286177
anti_PD1_early,deepseek,456,20,0.257998,0.027708,0.348685
anti_PD1_early,deepseek,456,21,0.25654,0.013333,0.344786
anti_PD1_early,deepseek,456,22,0.242981,0.006627,0.341475
anti_PD1_early,deepseek,456,23,0.231665,0.003432,0.337978
anti_PD1_early,deepseek,456,24,0.222021,0.001863,0.334161
anti_PD1_early,deepseek,456,25,0.282203,0.027837,0.390775
anti_PD1_early,deepseek,456,26,0.27692,0.013042,0.381265
anti_PD1_early,deepseek,456,27,0.262424,0.006165,0.372392
anti_PD1_early,deepseek,456,28,0.251272,0.002933,0.363103
anti_PD1_early,deepseek,456,29,0.237583,0.001409,0.354332
anti_PD1_early,deepseek,456,30,0.303323,0.016436,0.404988
anti_PD1_early,rules,123,1,0.0,0.002509,0.005554
anti_PD1_early,rules,123,2,0.0,0.004649,0.010664
anti_PD1_early,rules,123,3,0.0,0.006449,0.015365
anti_PD1_early,rules,123,4,0.0,0.008058,0.01969
anti_PD1_early,rules,123,5,0.0,0.005417,0.023668
anti_PD1_early,rules,123,6,0.0,0.004165,0.027779
anti_PD1_early,rules,123,7,0.0,0.003498,0.034336
anti_PD1_early,rules,123,8,0.0,0.003115,0.043893
anti_PD1_early,rules,123,9,0.0,0.002823,0.05786
anti_PD1_early,rules,123,10,0.0,0.002586,0.074911
anti_PD1_early,rules,123,11,0.0,0.002356,0.093222
anti_PD1_early,rules,123,12,0.0,0.0021,0.112468
anti_PD1_early,rules,123,13,0.0,0.001822,0.130925
anti_PD1_early,rules,123,14,0.0,0.001533,0.14858
anti_PD1_early,rules,123,15,0.0021,0.001256,0.164447
anti_PD1_early,rules,123,16,0.004478,0.000986,0.179196
anti_PD1_early,rules,123,17,0.004232,0.000753,0.193514
anti_PD1_early,rules,123,18,0.003999,0.000538,0.206687
anti_PD1_early,rules,123,19,0.004567,0.000359,0.218356
anti_PD1_early,rules,123,20,0.007334,0.000219,0.228267
anti_PD1_early,rules,123,21,0.011525,0.000118,0.236484
anti_PD1_early,rules,123,22,0.013778,5.6e-05,0.243445
anti_PD1_early,rules,123,23,0.015252,2.6e-05,0.249323
anti_PD1_early,rules,123,24,0.016644,1.2e-05,0.253681
anti_PD1_early,rules,123,25,0.019535,5e-06,0.255891
anti_PD1_early,rules,123,26,0.018986,3e-06,0.256499
anti_PD1_early,rules,123,27,0.01991,1e-06,0.255408
anti_PD1_early,rules,123,28,0.020259,1e-06,0.254179
anti_PD1_early,rules,123,29,0.020457,0.0,0.251924
anti_PD1_early,rules,123,30,0.023217,0.0,0.248749
anti_PD1_early,rules,42,1,0.0,0.002473,0.005668
anti_PD1_early,rules,42,2,0.0,0.004598,0.010882
anti_PD1_early,rules,42,3,0.0,0.006465,0.015679
anti_PD1_early,rules,42,4,0.0,0.008068,0.020093
anti_PD1_early,rules,42,5,0.0,0.005491,0.024153
anti_PD1_early,rules,42,6,0.0,0.004224,0.027889
anti_PD1_early,rules,42,7,0.0,0.003541,0.032675
anti_PD1_early,rules,42,8,0.0,0.003124,0.042254
anti_PD1_early,rules,42,9,0.0,0.002831,0.056391
anti_PD1_early,rules,42,10,0.0,0.002573,0.073448
anti_PD1_early,rules,42,11,0.0,0.002309,0.091915
anti_PD1_early,rules,42,12,0.0,0.002036,0.110629
anti_PD1_early,rules,42,13,0.0,0.001766,0.129422
anti_PD1_early,rules,42,14,0.00105,0.001474,0.147236
anti_PD1_early,rules,42,15,0.000992,0.001214,0.1646
anti_PD1_early,rules,42,16,0.002906,0.00095,0.180874
anti_PD1_early,rules,42,17,0.004715,0.000714,0.196072
anti_PD1_early,rules,42,18,0.009706,0.000508,0.209304
anti_PD1_early,rules,42,19,0.00996,0.000338,0.221103
anti_PD1_early,rules,42,20,0.011249,0.000203,0.231357
anti_PD1_early,rules,42,21,0.013256,0.000108,0.239666
anti_PD1_early,rules,42,22,0.015808,5.1e-05,0.246786
anti_PD1_early,rules,42,23,0.017563,2.3e-05,0.253186
anti_PD1_early,rules,42,24,0.020141,1.1e-05,0.258249
anti_PD1_early,rules,42,25,0.021002,5e-06,0.262531
anti_PD1_early,rules,42,26,0.021553,2e-06,0.264522
anti_PD1_early,rules,42,27,0.020368,1e-06,0.265003
anti_PD1_early,rules,42,28,0.020954,0.0,0.264845
anti_PD1_early,rules,42,29,0.019801,0.0,0.263425
anti_PD1_early,rules,42,30,0.018712,0.0,0.260694
anti_PD1_early,rules,456,1,0.0,0.002447,0.005496
anti_PD1_early,rules,456,2,0.0,0.004528,0.010553
anti_PD1_early,rules,456,3,0.0,0.006307,0.015205
anti_PD1_early,rules,456,4,0.0,0.007834,0.019485
anti_PD1_early,rules,456,5,0.0,0.005305,0.023423
anti_PD1_early,rules,456,6,0.0,0.004064,0.02757
anti_PD1_early,rules,456,7,0.0,0.003406,0.032736
anti_PD1_early,rules,456,8,0.0,0.003041,0.041763
anti_PD1_early,rules,456,9,0.0,0.002742,0.055694
anti_PD1_early,rules,456,10,0.0,0.002524,0.07286
anti_PD1_early,rules,456,11,0.0,0.002266,0.092327
anti_PD1_early,rules,456,12,0.0,0.001993,0.111437
anti_PD1_early,rules,456,13,0.0,0.001702,0.129769
anti_PD1_early,rules,456,14,0.0,0.001443,0.147909
anti_PD1_early,rules,456,15,0.001706,0.001171,0.165797
anti_PD1_early,rules,456,16,0.004369,0.000904,0.181955
anti_PD1_early,rules,456,17,0.00531,0.000664,0.19667
anti_PD1_early,rules,456,18,0.009349,0.000457,0.209758
anti_PD1_early,rules,456,19,0.01146,0.000296,0.221498
anti_PD1_early,rules,456,20,0.013061,0.000173,0.231325
anti_PD1_early,rules,456,21,0.013524,9.2e-05,0.24014
anti_PD1_early,rules,456,22,0.014092,4.4e-05,0.2475
anti_PD1_early,rules,456,23,0.016205,2e-05,0.252622
anti_PD1_early,rules,456,24,0.015445,9e-06,0.257033
anti_PD1_early,rules,456,25,0.01722,4e-06,0.260267
anti_PD1_early,rules,456,26,0.019423,2e-06,0.261292
anti_PD1_early,rules,456,27,0.01993,1e-06,0.26081
anti_PD1_early,rules,456,28,0.020934,0.0,0.258867
anti_PD1_early,rules,456,29,0.020045,0.0,0.256104
anti_PD1_early,rules,456,30,0.021436,0.0,0.253187
anti_PD1_late,deepseek,123,1,0.0,0.002509,0.005554
anti_PD1_late,deepseek,123,2,0.0,0.004649,0.010664
anti_PD1_late,deepseek,123,3,0.0,0.006449,0.015365
anti_PD1_late,deepseek,123,4,0.0,0.008058,0.01969
anti_PD1_late,deepseek,123,5,0.015,0.068797,0.072668
anti_PD1_late,deepseek,123,6,0.01525,0.058715,0.073159
anti_PD1_late,deepseek,123,7,0.013725,0.050794,0.076085
anti_PD1_late,deepseek,123,8,0.012352,0.044667,0.081778
anti_PD1_late,deepseek,123,9,0.011117,0.03991,0.093464
anti_PD1_late,deepseek,123,10,0.085006,0.100802,0.160191
anti_PD1_late,deepseek,123,11,0.084005,0.085362,0.17123
anti_PD1_late,deepseek,123,12,0.075979,0.073113,0.183386
anti_PD1_late,deepseek,123,13,0.068757,0.063393,0.194794
anti_PD1_late,deepseek,123,14,0.062181,0.055719,0.205889
anti_PD1_late,deepseek,123,15,0.155068,0.072692,0.271447
anti_PD1_late,deepseek,123,16,0.156777,0.036279,0.27667
anti_PD1_late,deepseek,123,17,0.149834,0.019445,0.281933
anti_PD1_late,deepseek,123,18,0.143116,0.011521,0.28715
anti_PD1_late,deepseek,123,19,0.136688,0.007719,0.291725
anti_PD1_late,deepseek,123,20,0.209127,0.024045,0.355809
anti_PD1_late,deepseek,123,21,0.208519,0.013026,0.353469
anti_PD1_late,deepseek,123,22,0.19726,0.007811,0.351717
anti_PD1_late,deepseek,123,23,0.187408,0.005276,0.351155
anti_PD1_late,deepseek,123,24,0.179595,0.003836,0.349589
anti_PD1_late,deepseek,123,25,0.245986,0.029658,0.406547
anti_PD1_late,deepseek,123,26,0.245188,0.014711,0.399147
anti_PD1_late,deepseek,123,27,0.233356,0.007676,0.391264
anti_PD1_late,deepseek,123,28,0.222096,0.004302,0.382811
anti_PD1_late,deepseek,123,29,0.210406,0.002569,0.37421
anti_PD1_late,deepseek,123,30,0.294996,0.014176,0.426246
anti_PD1_late,deepseek,42,1,0.0,0.002473,0.005668
anti_PD1_late,deepseek,42,2,0.0,0.004598,0.010882
anti_PD1_late,deepseek,42,3,0.0,0.006465,0.015679
anti_PD1_late,deepseek,42,4,0.0,0.008068,0.020093
anti_PD1_late,deepseek,42,5,0.0075,0.059299,0.074903
anti_PD1_late,deepseek,42,6,0.0075,0.05114,0.074879
anti_PD1_late,deepseek,42,7,0.00675,0.044738,0.076206
anti_PD1_late,deepseek,42,8,0.006075,0.039753,0.083352
anti_PD1_late,deepseek,42,9,0.005467,0.035942,0.094952
anti_PD1_late,deepseek,42,10,0.067046,0.109812,0.163873
anti_PD1_late,deepseek,42,11,0.067091,0.092417,0.174806
anti_PD1_late,deepseek,42,12,0.060457,0.078635,0.185875
anti_PD1_late,deepseek,42,13,0.054486,0.067827,0.197641
anti_PD1_late,deepseek,42,14,0.049038,0.059296,0.209291
anti_PD1_late,deepseek,42,15,0.146841,0.064409,0.285933
anti_PD1_late,deepseek,42,16,0.150314,0.032459,0.291397
anti_PD1_late,deepseek,42,17,0.142283,0.017638,0.296573
anti_PD1_late,deepseek,42,18,0.134694,0.010667,0.301411
anti_PD1_late,deepseek,42,19,0.127443,0.007318,0.306161
anti_PD1_late,deepseek,42,20,0.212684,0.027317,0.381456
anti_PD1_late,deepseek,42,21,0.214899,0.014513,0.378425
anti_PD1_late,deepseek,42,22,0.203158,0.008542,0.376037
anti_PD1_late,deepseek,42,23,0.192063,0.005641,0.374139
anti_PD1_late,deepseek,42,24,0.1815,0.004054,0.372244
anti_PD1_late,deepseek,42,25,0.254085,0.015697,0.43515
anti_PD1_late,deepseek,42,26,0.254679,0.008315,0.426324
anti_PD1_late,deepseek,42,27,0.240829,0.004772,0.417579
anti_PD1_late,deepseek,42,28,0.227583,0.00298,0.408933
anti_PD1_late,deepseek,42,29,0.215066,0.001952,0.399855
anti_PD1_late,deepseek,42,30,0.287553,0.023733,0.445452
anti_PD1_late,deepseek,456,1,0.0,0.002447,0.005496
anti_PD1_late,deepseek,456,2,0.0,0.004528,0.010553
anti_PD1_late,deepseek,456,3,0.0,0.006307,0.015205
anti_PD1_late,deepseek,456,4,0.0,0.007834,0.019485
anti_PD1_late,deepseek,456,5,0.0075,0.074352,0.066673
anti_PD1_late,deepseek,456,6,0.007625,0.063115,0.06766
anti_PD1_late,deepseek,456,7,0.006862,0.054271,0.069919
anti_PD1_late,deepseek,456,8,0.006176,0.047435,0.076797
anti_PD1_late,deepseek,456,9,0.005559,0.042039,0.087774
anti_PD1_late,deepseek,456,10,0.078628,0.118979,0.157699
anti_PD1_late,deepseek,456,11,0.07839,0.099867,0.169404
anti_PD1_late,deepseek,456,12,0.070776,0.084691,0.180933
anti_PD1_late,deepseek,456,13,0.063923,0.072681,0.1923
anti_PD1_late,deepseek,456,14,0.057756,0.063323,0.20374
anti_PD1_late,deepseek,456,15,0.160329,0.065779,0.277165
anti_PD1_late,deepseek,456,16,0.163586,0.033051,0.281719
anti_PD1_late,deepseek,456,17,0.156033,0.017845,0.286133
anti_PD1_late,deepseek,456,18,0.150339,0.01073,0.289969
anti_PD1_late,deepseek,456,19,0.144301,0.00734,0.293424
anti_PD1_late,deepseek,456,20,0.208971,0.025883,0.358201
anti_PD1_late,deepseek,456,21,0.208502,0.013969,0.355667
anti_PD1_late,deepseek,456,22,0.200867,0.008314,0.353235
anti_PD1_late,deepseek,456,23,0.192996,0.005553,0.350922
anti_PD1_late,deepseek,456,24,0.184297,0.004049,0.348795
anti_PD1_late,deepseek,456,25,0.237592,0.01694,0.405488
anti_PD1_late,deepseek,456,26,0.233843,0.008931,0.396626
anti_PD1_late,deepseek,456,27,0.222505,0.005163,0.388724
anti_PD1_late,deepseek,456,28,0.213942,0.003231,0.381303
anti_PD1_late,deepseek,456,29,0.204931,0.002127,0.372676
anti_PD1_late,deepseek,456,30,0.258541,0.013272,0.42079
anti_PD1_late,rules,123,1,0.0,0.002509,0.005554
anti_PD1_late,rules,123,2,0.0,0.004649,0.010664
anti_PD1_late,rules,123,3,0.0,0.006449,0.015365
anti_PD1_late,rules,123,4,0.0,0.008058,0.01969
anti_PD1_late,rules,123,5,0.0,0.009422,0.023668
anti_PD1_late,rules,123,6,0.0,0.010699,0.027779
anti_PD1_late,rules,123,7,0.0,0.011835,0.034336
anti_PD1_late,rules,123,8,0.0,0.012909,0.043893
anti_PD1_late,rules,123,9,0.0,0.013877,0.05786
anti_PD1_late,rules,123,10,0.0,0.014825,0.074911
anti_PD1_late,rules,123,11,0.0,0.015743,0.093222
anti_PD1_late,rules,123,12,0.0,0.016559,0.112468
anti_PD1_late,rules,123,13,0.0,0.017284,0.130925
anti_PD1_late,rules,123,14,0.0,0.017889,0.14858
anti_PD1_late,rules,123,15,0.0,0.010612,0.164747
anti_PD1_late,rules,123,16,0.003413,0.007055,0.179847
anti_PD1_late,rules,123,17,0.0048,0.005245,0.194038
anti_PD1_late,rules,123,18,0.005455,0.004186,0.207244
anti_PD1_late,rules,123,19,0.008567,0.003496,0.218943
anti_PD1_late,rules,123,20,0.012821,0.002987,0.229257
anti_PD1_late,rules,123,21,0.016316,0.002566,0.238521
anti_PD1_late,rules,123,22,0.020668,0.002147,0.246293
anti_PD1_late,rules,123,23,0.023075,0.001753,0.252619
anti_PD1_late,rules,123,24,0.026137,0.001387,0.257013
anti_PD1_late,rules,123,25,0.026669,0.001078,0.259706
anti_PD1_late,rules,123,26,0.025202,0.000818,0.260909
anti_PD1_late,rules,123,27,0.024341,0.000603,0.26014
anti_PD1_late,rules,123,28,0.026021,0.000427,0.258833
anti_PD1_late,rules,123,29,0.026165,0.000286,0.25658
anti_PD1_late,rules,123,30,0.028926,0.000171,0.253008
anti_PD1_late,rules,42,1,0.0,0.002473,0.005668
anti_PD1_late,rules,42,2,0.0,0.004598,0.010882
anti_PD1_late,rules,42,3,0.0,0.006465,0.015679
anti_PD1_late,rules,42,4,0.0,0.008068,0.020093
anti_PD1_late,rules,42,5,0.0,0.009549,0.024153
anti_PD1_late,rules,42,6,0.0,0.01085,0.027889
anti_PD1_late,rules,42,7,0.0,0.011986,0.032675
anti_PD1_late,rules,42,8,0.0,0.013018,0.042254
anti_PD1_late,rules,42,9,0.0,0.013996,0.056391
anti_PD1_late,rules,42,10,0.0,0.014906,0.073448
anti_PD1_late,rules,42,11,0.0,0.01573,0.091915
anti_PD1_late,rules,42,12,0.0,0.016497,0.110629
anti_PD1_late,rules,42,13,0.0,0.017259,0.129422
anti_PD1_late,rules,42,14,0.0,0.01793,0.147461
anti_PD1_late,rules,42,15,0.0,0.010707,0.165032
anti_PD1_late,rules,42,16,0.002756,0.007129,0.181497
anti_PD1_late,rules,42,17,0.003917,0.005315,0.197095
anti_PD1_late,rules,42,18,0.009345,0.00427,0.21107
anti_PD1_late,rules,42,19,0.013425,0.003561,0.223327
anti_PD1_late,rules,42,20,0.015968,0.003004,0.234004
anti_PD1_late,rules,42,21,0.018109,0.002535,0.242851
anti_PD1_late,rules,42,22,0.019475,0.002115,0.249866
anti_PD1_late,rules,42,23,0.020241,0.001752,0.256469
anti_PD1_late,rules,42,24,0.023328,0.001405,0.26157
anti_PD1_late,rules,42,25,0.024276,0.001076,0.265437
anti_PD1_late,rules,42,26,0.025304,0.000798,0.267495
anti_PD1_late,rules,42,27,0.029424,0.000538,0.267213
anti_PD1_late,rules,42,28,0.0303,0.000335,0.265378
anti_PD1_late,rules,42,29,0.029027,0.000201,0.262866
anti_PD1_late,rules,42,30,0.030056,0.000108,0.259804
anti_PD1_late,rules,456,1,0.0,0.002447,0.005496
anti_PD1_late,rules,456,2,0.0,0.004528,0.010553
anti_PD1_late,rules,456,3,0.0,0.006307,0.015205
anti_PD1_late,rules,456,4,0.0,0.007834,0.019485
anti_PD1_late,rules,456,5,0.0,0.009227,0.023423
anti_PD1_late,rules,456,6,0.0,0.010457,0.02757
anti_PD1_late,rules,456,7,0.0,0.011561,0.032736
anti_PD1_late,rules,456,8,0.0,0.012653,0.041763
anti_PD1_late,rules,456,9,0.0,0.013603,0.055694
anti_PD1_late,rules,456,10,0.0,0.014597,0.07286
anti_PD1_late,rules,456,11,0.0,0.01546,0.092327
anti_PD1_late,rules,456,12,0.0,0.016234,0.111437
anti_PD1_late,rules,456,13,0.0,0.016949,0.129769
anti_PD1_late,rules,456,14,0.0,0.017721,0.147909
anti_PD1_late,rules,456,15,0.0,0.010566,0.165872
anti_PD1_late,rules,456,16,0.004463,0.007008,0.181949
anti_PD1_late,rules,456,17,0.00553,0.005159,0.196589
anti_PD1_late,rules,456,18,0.008113,0.004117,0.209759
anti_PD1_late,rules,456,19,0.008979,0.003449,0.221649
anti_PD1_late,rules,456,20,0.008485,0.002944,0.232289
anti_PD1_late,rules,456,21,0.008937,0.002516,0.242152
anti_PD1_late,rules,456,22,0.012252,0.002071,0.249951
anti_PD1_late,rules,456,23,0.013941,0.001638,0.255926
anti_PD1_late,rules,456,24,0.017637,0.001283,0.260599
anti_PD1_late,rules,456,25,0.019554,0.000968,0.264372
anti_PD1_late,rules,456,26,0.021235,0.000708,0.266269
anti_PD1_late,rules,456,27,0.023086,0.00049,0.266514
anti_PD1_late,rules,456,28,0.025622,0.000318,0.265239
anti_PD1_late,rules,456,29,0.024213,0.000198,0.262866
anti_PD1_late,rules,456,30,0.026819,0.000115,0.259633
