experiment,condition,mode,seed,step,phase_G0,phase_G1,phase_S,phase_G2,phase_M
treatment_anti_PD1_early,anti_PD1_early,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
treatment_anti_PD1_early,anti_PD1_early,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
treatment_anti_PD1_early,anti_PD1_early,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
treatment_anti_PD1_early,anti_PD1_early,rules,456,14,0.5343,0.2181,0.1745,0.0639,0.0093
treatment_anti_PD1_early,anti_PD1_early,rules,456,15,0.5364,0.1883,0.1851,0.0823,0.0079
treatment_anti_PD1_early,anti_PD1_early,rules,456,16,0.5414,0.1752,0.1847,0.086,0.0127
treatment_anti_PD1_early,anti_PD1_early,rules,456,17,0.5586,0.1477,0.1862,0.0867,0.0209
treatment_anti_PD1_early,anti_PD1_early,rules,456,18,0.5801,0.1362,0.1651,0.0962,0.0224
treatment_anti_PD1_early,anti_PD1_early,rules,456,19,0.5885,0.1525,0.1492,0.0934,0.0164
treatment_anti_PD1_early,anti_PD1_early,rules,456,20,0.5917,0.1438,0.1521,0.0992,0.0132
treatment_anti_PD1_early,anti_PD1_early,rules,456,21,0.6185,0.1059,0.1496,0.1059,0.0202
treatment_anti_PD1_early,anti_PD1_early,rules,456,22,0.6557,0.09,0.1419,0.0848,0.0277
treatment_anti_PD1_early,anti_PD1_early,rules,456,23,0.692,0.083,0.1142,0.0934,0.0173
treatment_anti_PD1_early,anti_PD1_early,rules,456,24,0.7179,0.075,0.1071,0.0786,0.0214
treatment_anti_PD1_early,anti_PD1_early,rules,456,25,0.7477,0.0673,0.1047,0.0579,0.0224
treatment_anti_PD1_early,anti_PD1_early,rules,456,26,0.7669,0.0366,0.1118,0.0732,0.0116
treatment_anti_PD1_early,anti_PD1_early,rules,456,27,0.7802,0.0101,0.1069,0.0706,0.0323
treatment_anti_PD1_early,anti_PD1_early,rules,456,28,0.8134,0.0122,0.0953,0.071,0.0081
treatment_anti_PD1_early,anti_PD1_early,rules,456,29,0.8172,0.0147,0.0861,0.0777,0.0042
treatment_anti_PD1_early,anti_PD1_early,rules,456,30,0.8229,0.0135,0.0852,0.0538,0.0247
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,2,0.6081,0.1776,0.1062,0.083,0.0251
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,4,0.6004,0.1784,0.1115,0.0836,0.026
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,5,0.6385,0.1541,0.1028,0.0862,0.0183
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,6,0.5928,0.2072,0.1045,0.0739,0.0216
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,7,0.5873,0.2205,0.1093,0.067,0.0159
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,8,0.566,0.2361,0.1181,0.0556,0.0243
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,9,0.5864,0.2085,0.1271,0.0576,0.0203
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,10,0.6186,0.1821,0.1306,0.0601,0.0086
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,11,0.5673,0.2164,0.1397,0.0681,0.0085
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,12,0.5719,0.2234,0.1252,0.0677,0.0118
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,13,0.5772,0.1728,0.1661,0.0621,0.0218
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,14,0.594,0.1481,0.173,0.0682,0.0166
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,15,0.622,0.1,0.1864,0.0746,0.0169
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,16,0.5745,0.1558,0.1709,0.0888,0.0101
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,17,0.563,0.1782,0.1445,0.0975,0.0168
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,18,0.5748,0.1328,0.195,0.0756,0.0218
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,19,0.5866,0.1429,0.1462,0.1008,0.0235
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,20,0.6442,0.1123,0.1209,0.1002,0.0225
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,21,0.6474,0.1329,0.0886,0.1056,0.0256
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,22,0.6802,0.1337,0.0728,0.1134,0.0
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,23,0.6888,0.0699,0.1329,0.0682,0.0402
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,24,0.7345,0.0534,0.0983,0.0948,0.019
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,25,0.7754,0.0453,0.0978,0.0525,0.029
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,26,0.8004,0.0425,0.0961,0.0481,0.0129
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,27,0.8125,0.0492,0.0852,0.053,0.0
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,28,0.8056,0.022,0.1162,0.022,0.0341
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,29,0.8433,0.0206,0.0598,0.0722,0.0041
treatment_anti_PD1_late,anti_PD1_late,deepseek,123,30,0.8533,0.02,0.0422,0.0733,0.0111
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,5,0.6259,0.1679,0.115,0.0785,0.0128
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,6,0.5874,0.2036,0.1153,0.0739,0.0198
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,7,0.583,0.2138,0.1095,0.0707,0.023
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,8,0.5717,0.2383,0.1054,0.0656,0.019
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,9,0.5644,0.2356,0.1085,0.078,0.0136
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,10,0.5983,0.1896,0.1252,0.0713,0.0157
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,11,0.5763,0.2007,0.1372,0.0652,0.0206
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,12,0.5882,0.2084,0.1244,0.0639,0.0151
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,13,0.5814,0.1877,0.1545,0.0548,0.0216
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,14,0.5912,0.1775,0.1645,0.0554,0.0114
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,15,0.6106,0.1398,0.1697,0.0666,0.0133
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,16,0.5924,0.1419,0.1667,0.0842,0.0149
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,17,0.5905,0.1612,0.1398,0.0954,0.0132
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,18,0.5843,0.1391,0.1768,0.0867,0.0131
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,19,0.5745,0.1474,0.149,0.1043,0.0248
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,20,0.6155,0.113,0.1467,0.0961,0.0287
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,21,0.6374,0.1109,0.1291,0.0977,0.0248
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,22,0.6694,0.114,0.0959,0.1157,0.005
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,23,0.6796,0.0826,0.1265,0.0708,0.0405
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,24,0.7369,0.0641,0.1029,0.0826,0.0135
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,25,0.754,0.0475,0.1107,0.0615,0.0264
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,26,0.7694,0.044,0.1004,0.0599,0.0264
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,27,0.7929,0.0518,0.0839,0.0714,0.0
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,28,0.7759,0.0452,0.1073,0.0452,0.0264
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,29,0.8085,0.0445,0.0754,0.0658,0.0058
treatment_anti_PD1_late,anti_PD1_late,deepseek,42,30,0.8184,0.048,0.0564,0.0522,0.0251
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,5,0.6414,0.1645,0.0961,0.0795,0.0185
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,6,0.5898,0.2214,0.0998,0.0599,0.029
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,7,0.5873,0.2346,0.1005,0.0688,0.0088
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,8,0.549,0.2587,0.0962,0.0682,0.028
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,9,0.5646,0.2466,0.1088,0.0697,0.0102
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,10,0.592,0.224,0.1128,0.0608,0.0104
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,11,0.5533,0.2388,0.1392,0.0533,0.0155
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,12,0.5559,0.2508,0.1254,0.0458,0.022
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,13,0.5622,0.2023,0.1692,0.0531,0.0133
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,14,0.5455,0.2,0.1835,0.0628,0.0083
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,15,0.5729,0.1509,0.187,0.0806,0.0086
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,16,0.5616,0.1507,0.1935,0.0805,0.0137
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,17,0.5753,0.1558,0.1541,0.0925,0.0223
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,18,0.5891,0.1256,0.1935,0.0747,0.017
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,19,0.5854,0.1371,0.1523,0.1049,0.0203
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,20,0.628,0.1055,0.1453,0.1038,0.0173
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,21,0.6326,0.1057,0.1213,0.1144,0.026
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,22,0.6707,0.1034,0.1,0.1241,0.0017
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,23,0.6684,0.0847,0.1217,0.0811,0.0441
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,24,0.7261,0.0777,0.0883,0.0848,0.023
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,25,0.7664,0.0639,0.0858,0.0474,0.0365
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,26,0.8071,0.0357,0.0893,0.0589,0.0089
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,27,0.814,0.0405,0.07,0.0737,0.0018
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,28,0.8101,0.0155,0.0969,0.0504,0.0271
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,29,0.8327,0.0197,0.0748,0.065,0.0079
treatment_anti_PD1_late,anti_PD1_late,deepseek,456,30,0.8399,0.0187,0.0686,0.0478,0.0249
treatment_anti_PD1_late,anti_PD1_late,rules,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
treatment_anti_PD1_late,anti_PD1_late,rules,123,2,0.6081,0.1776,0.1062,0.083,0.0251
treatment_anti_PD1_late,anti_PD1_late,rules,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
treatment_anti_PD1_late,anti_PD1_late,rules,123,4,0.6004,0.1784,0.1115,0.0836,0.026
treatment_anti_PD1_late,anti_PD1_late,rules,123,5,0.6014,0.1884,0.1069,0.0851,0.0181
treatment_anti_PD1_late,anti_PD1_late,rules,123,6,0.5925,0.2046,0.1085,0.073,0.0214
treatment_anti_PD1_late,anti_PD1_late,rules,123,7,0.5871,0.2178,0.1132,0.0662,0.0157
treatment_anti_PD1_late,anti_PD1_late,rules,123,8,0.5626,0.2367,0.1218,0.0549,0.024
treatment_anti_PD1_late,anti_PD1_late,rules,123,9,0.5796,0.2127,0.1273,0.0603,0.0201
treatment_anti_PD1_late,anti_PD1_late,rules,123,10,0.5681,0.2233,0.1297,0.069,0.0099
treatment_anti_PD1_late,anti_PD1_late,rules,123,11,0.5505,0.2248,0.1384,0.0765,0.0098
treatment_anti_PD1_late,anti_PD1_late,rules,123,12,0.5541,0.2036,0.1535,0.0759,0.0129
treatment_anti_PD1_late,anti_PD1_late,rules,123,13,0.5579,0.1849,0.1656,0.0659,0.0257
treatment_anti_PD1_late,anti_PD1_late,rules,123,14,0.581,0.1635,0.1683,0.0683,0.019
treatment_anti_PD1_late,anti_PD1_late,rules,123,15,0.5648,0.1632,0.1744,0.08,0.0176
treatment_anti_PD1_late,anti_PD1_late,rules,123,16,0.5582,0.177,0.1611,0.0909,0.0128
treatment_anti_PD1_late,anti_PD1_late,rules,123,17,0.5579,0.1608,0.1672,0.0981,0.0161
treatment_anti_PD1_late,anti_PD1_late,rules,123,18,0.5703,0.1486,0.1632,0.0953,0.0226
treatment_anti_PD1_late,anti_PD1_late,rules,123,19,0.5828,0.1591,0.1429,0.086,0.0292
treatment_anti_PD1_late,anti_PD1_late,rules,123,20,0.6049,0.174,0.1301,0.0683,0.0228
treatment_anti_PD1_late,anti_PD1_late,rules,123,21,0.6395,0.1628,0.1013,0.0748,0.0216
treatment_anti_PD1_late,anti_PD1_late,rules,123,22,0.6718,0.1207,0.1276,0.0731,0.0068
treatment_anti_PD1_late,anti_PD1_late,rules,123,23,0.6832,0.0903,0.1204,0.0956,0.0106
treatment_anti_PD1_late,anti_PD1_late,rules,123,24,0.6947,0.0731,0.1152,0.1005,0.0165
treatment_anti_PD1_late,anti_PD1_late,rules,123,25,0.7065,0.0617,0.1271,0.0729,0.0318
treatment_anti_PD1_late,anti_PD1_late,rules,123,26,0.7432,0.0386,0.1371,0.0676,0.0135
treatment_anti_PD1_late,anti_PD1_late,rules,123,27,0.7625,0.008,0.1657,0.0399,0.024
treatment_anti_PD1_late,anti_PD1_late,rules,123,28,0.7972,0.0081,0.1237,0.0527,0.0183
treatment_anti_PD1_late,anti_PD1_late,rules,123,29,0.8191,0.0085,0.0872,0.0809,0.0043
treatment_anti_PD1_late,anti_PD1_late,rules,123,30,0.8286,0.0088,0.0637,0.0901,0.0088
treatment_anti_PD1_late,anti_PD1_late,rules,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_PD1_late,anti_PD1_late,rules,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_PD1_late,anti_PD1_late,rules,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_PD1_late,anti_PD1_late,rules,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_PD1_late,anti_PD1_late,rules,42,5,0.5817,0.2136,0.1131,0.079,0.0126
treatment_anti_PD1_late,anti_PD1_late,rules,42,6,0.5762,0.2163,0.1135,0.0727,0.0213
treatment_anti_PD1_late,anti_PD1_late,rules,42,7,0.5729,0.2257,0.1094,0.0694,0.0226
treatment_anti_PD1_late,anti_PD1_late,rules,42,8,0.562,0.2496,0.1053,0.0645,0.0187
treatment_anti_PD1_late,anti_PD1_late,rules,42,9,0.56,0.2417,0.1083,0.0767,0.0133
treatment_anti_PD1_late,anti_PD1_late,rules,42,10,0.5378,0.2385,0.1349,0.074,0.0148
treatment_anti_PD1_late,anti_PD1_late,rules,42,11,0.5429,0.2188,0.1507,0.0681,0.0194
treatment_anti_PD1_late,anti_PD1_late,rules,42,12,0.5494,0.1943,0.1736,0.0685,0.0143
treatment_anti_PD1_late,anti_PD1_late,rules,42,13,0.5394,0.2003,0.1751,0.0599,0.0252
treatment_anti_PD1_late,anti_PD1_late,rules,42,14,0.5604,0.1827,0.1858,0.0588,0.0124
treatment_anti_PD1_late,anti_PD1_late,rules,42,15,0.558,0.1708,0.1834,0.0737,0.0141
treatment_anti_PD1_late,anti_PD1_late,rules,42,16,0.5576,0.162,0.1729,0.0919,0.0156
treatment_anti_PD1_late,anti_PD1_late,rules,42,17,0.5636,0.1413,0.1727,0.1052,0.0173
treatment_anti_PD1_late,anti_PD1_late,rules,42,18,0.5667,0.146,0.1524,0.1222,0.0127
treatment_anti_PD1_late,anti_PD1_late,rules,42,19,0.5631,0.1553,0.1505,0.1052,0.0259
treatment_anti_PD1_late,anti_PD1_late,rules,42,20,0.5852,0.1492,0.1426,0.0984,0.0246
treatment_anti_PD1_late,anti_PD1_late,rules,42,21,0.6298,0.134,0.1189,0.0921,0.0251
treatment_anti_PD1_late,anti_PD1_late,rules,42,22,0.6656,0.1054,0.1204,0.0786,0.0301
treatment_anti_PD1_late,anti_PD1_late,rules,42,23,0.7002,0.0886,0.1073,0.0937,0.0102
treatment_anti_PD1_late,anti_PD1_late,rules,42,24,0.715,0.069,0.1168,0.0814,0.0177
treatment_anti_PD1_late,anti_PD1_late,rules,42,25,0.7314,0.0508,0.1234,0.069,0.0254
treatment_anti_PD1_late,anti_PD1_late,rules,42,26,0.7605,0.0247,0.1274,0.0684,0.019
treatment_anti_PD1_late,anti_PD1_late,rules,42,27,0.7718,0.006,0.1329,0.0575,0.0317
treatment_anti_PD1_late,anti_PD1_late,rules,42,28,0.8052,0.006,0.1084,0.0763,0.004
treatment_anti_PD1_late,anti_PD1_late,rules,42,29,0.8046,0.0126,0.0945,0.0756,0.0126
treatment_anti_PD1_late,anti_PD1_late,rules,42,30,0.8194,0.0129,0.0688,0.0817,0.0172
treatment_anti_PD1_late,anti_PD1_late,rules,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_PD1_late,anti_PD1_late,rules,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_PD1_late,anti_PD1_late,rules,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_PD1_late,anti_PD1_late,rules,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_PD1_late,anti_PD1_late,rules,456,5,0.5906,0.2065,0.0978,0.087,0.0181
treatment_anti_PD1_late,anti_PD1_late,rules,456,6,0.5765,0.226,0.1014,0.0641,0.032
treatment_anti_PD1_late,anti_PD1_late,rules,456,7,0.5879,0.2293,0.1017,0.0707,0.0103
treatment_anti_PD1_late,anti_PD1_late,rules,456,8,0.5495,0.256,0.0939,0.07,0.0307
treatment_anti_PD1_late,anti_PD1_late,rules,456,9,0.5662,0.245,0.1076,0.0712,0.0099
treatment_anti_PD1_late,anti_PD1_late,rules,456,10,0.5426,0.259,0.118,0.0705,0.0098
treatment_anti_PD1_late,anti_PD1_late,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
treatment_anti_PD1_late,anti_PD1_late,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
treatment_anti_PD1_late,anti_PD1_late,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
treatment_anti_PD1_late,anti_PD1_late,rules,456,14,0.5326,0.2189,0.1755,0.0637,0.0093
treatment_anti_PD1_late,anti_PD1_late,rules,456,15,0.5341,0.1886,0.187,0.0824,0.0079
treatment_anti_PD1_late,anti_PD1_late,rules,456,16,0.5375,0.177,0.185,0.0861,0.0144
treatment_anti_PD1_late,anti_PD1_late,rules,456,17,0.555,0.1483,0.1834,0.0925,0.0207
treatment_anti_PD1_late,anti_PD1_late,rules,456,18,0.5714,0.1397,0.1635,0.1032,0.0222
treatment_anti_PD1_late,anti_PD1_late,rules,456,19,0.5748,0.1576,0.1529,0.0955,0.0191
treatment_anti_PD1_late,anti_PD1_late,rules,456,20,0.576,0.1536,0.152,0.1056,0.0128
treatment_anti_PD1_late,anti_PD1_late,rules,456,21,0.603,0.117,0.1483,0.1087,0.0231
treatment_anti_PD1_late,anti_PD1_late,rules,456,22,0.6364,0.1027,0.1481,0.0808,0.032
treatment_anti_PD1_late,anti_PD1_late,rules,456,23,0.6825,0.0951,0.1171,0.0866,0.0187
treatment_anti_PD1_late,anti_PD1_late,rules,456,24,0.708,0.0892,0.1101,0.0734,0.0192
treatment_anti_PD1_late,anti_PD1_late,rules,456,25,0.7261,0.0739,0.1171,0.0595,0.0234
treatment_anti_PD1_late,anti_PD1_late,rules,456,26,0.7523,0.0391,0.1229,0.0745,0.0112
treatment_anti_PD1_late,anti_PD1_late,rules,456,27,0.7593,0.0098,0.1233,0.0802,0.0274
treatment_anti_PD1_late,anti_PD1_late,rules,456,28,0.7917,0.0119,0.1071,0.0813,0.0079
treatment_anti_PD1_late,anti_PD1_late,rules,456,29,0.7983,0.0125,0.0956,0.0852,0.0083
treatment_anti_PD1_late,anti_PD1_late,rules,456,30,0.7996,0.0153,0.0915,0.0654,0.0283
